time,source_file,source_ext,output_file,clean_name,matched_cover,match_score,action,status,message
2026/3/15 23:51,likejshy-Forフルーツバスケット_水果篮子_OP-20260315225244-20260315225245.mp3,.mp3,likejshy-Forフルーツバスケット_水果篮子_OP.m4a,likejshy-Forフルーツバスケット_水果篮子_OP,封面-likejshy-Forフルーツバスケット_水果篮子_OP-20260315225244-20260315225247.jpg,1.25,success,ok,
2026/3/15 23:51,MXirony-“威仪棣棣，不可选也。”-20260315225730-20260315225732.mp4,.mp4,MXirony-“威仪棣棣，不可选也。”.m4a,MXirony-“威仪棣棣，不可选也。”,封面-MXirony-“威仪棣棣，不可选也。”-20260315225730-20260315225733.jpg,1.25,success,ok,
2026/3/15 23:51,Neuro音乐-《原神_6_0_OST》少女哥伦比娅主题-20260314210301-20260314210304.mp3,.mp3,Neuro音乐-《原神_6_0_OST》少女哥伦比娅主题.m4a,Neuro音乐-《原神_6_0_OST》少女哥伦比娅主题,封面-Neuro音乐-《原神_6_0_OST》少女哥伦比娅主题-20260314210301-20260314210306.jpg,1.25,success,ok,
2026/3/15 23:51,Neuro音乐-《原神_6_0_OST》少女哥伦比娅主题-20260315222049-20260315222051.mp3,.mp3,Neuro音乐-《原神_6_0_OST》少女哥伦比娅主题_2.m4a,Neuro音乐-《原神_6_0_OST》少女哥伦比娅主题,封面-Neuro音乐-《原神_6_0_OST》少女哥伦比娅主题-20260314210301-20260314210306.jpg,1.25,success,ok,
2026/3/15 23:51,otone-music-流星赞歌_(流星賛歌)____重音テト_-20260315221831-20260315221833.mp3,.mp3,otone-music-流星赞歌_(流星賛歌)____重音テト.m4a,otone-music-流星赞歌_(流星賛歌)____重音テト,封面-otone-music-流星赞歌_(流星賛歌)____重音テト_-20260315221831-20260315221834.jpg,1.25,success,ok,
2026/3/15 23:51,ProjectMili-Mili_-_Hero（英雄）【边狱巴士-20260315222403-20260315222405.mp4,.mp4,ProjectMili-Mili_-_Hero（英雄）【边狱巴士.m4a,ProjectMili-Mili_-_Hero（英雄）【边狱巴士,封面-ProjectMili-Mili_-_Hero（英雄）【边狱巴士-20260315222403-20260315222406.jpg,1.25,success,ok,
2026/3/15 23:51,ProjectMili-Mili_-_TIAN_TIAN【边狱巴-20260315222409-20260315222410.mp4,.mp4,ProjectMili-Mili_-_TIAN_TIAN【边狱巴.m4a,ProjectMili-Mili_-_TIAN_TIAN【边狱巴,封面-ProjectMili-Mili_-_TIAN_TIAN【边狱巴-20260315222414-20260315222415.jpg,1.25,success,ok,
2026/3/15 23:51,ProjectMili-Mili【ENDER_MAGNOLIA】-20260315223442-20260315223444.mp3,.mp3,ProjectMili-Mili【ENDER_MAGNOLIA】.m4a,ProjectMili-Mili【ENDER_MAGNOLIA】,封面-ProjectMili-Mili【ENDER_MAGNOLIA】-20260315223308-20260315223312.jpg,1.25,success,ok,
2026/3/15 23:57,ProjectMili-【Mili】Ga1ahad_and_Sc-20260315225544-20260315225546.mp3,.mp3,ProjectMili-【Mili】Ga1ahad_and_Sc.m4a,ProjectMili-【Mili】Ga1ahad_and_Sc,封面-ProjectMili-【Mili】Ga1ahad_and_Sc-20260315225544-20260315225548.jpg,1.25,success,ok,
2026/3/15 23:57,ProjectMili-【Mili】Summoning_101（-20260315225552-20260315225553.mp3,.mp3,ProjectMili-【Mili】Summoning_101（.m4a,ProjectMili-【Mili】Summoning_101（,封面-ProjectMili-【Mili】Summoning_101（-20260315225552-20260315225555.jpg,1.25,success,ok,
2026/3/15 23:57,restart0x-【熟肉_塔科夫】诺文斯克民谣-20260315222728-20260315222730.mp3,.mp3,restart0x-【熟肉_塔科夫】诺文斯克民谣.m4a,restart0x-【熟肉_塔科夫】诺文斯克民谣,封面-restart0x-【熟肉_塔科夫】诺文斯克民谣-20260315222733-20260315222734.jpg,1.25,success,ok,
2026/3/15 23:57,Sallos-【8K】MV_宮本浩次_《冬之花》「冬の-20260315222531-20260315222533.mp4,.mp4,Sallos-【8K】MV_宮本浩次_《冬之花》「冬の.m4a,Sallos-【8K】MV_宮本浩次_《冬之花》「冬の,封面-Sallos-【8K】MV_宮本浩次_《冬之花》「冬の-20260315222536-20260315222537.jpg,1.25,success,ok,
